polarity,tweet
-0.6,HoustonRockets VicOladipo you guys are horrible No wonder JHarden13 wanted out I wouldnt want to waste my pri
-0.166666667,georgeIufc HoustonRockets Heard its less than a 20 we get our pick
0,HoustonRockets Trash bums
0,HoustonRockets LMFAOOOO
-0.336458333,HoustonRockets I mean seriously trade PJ and Victor PJ hasnt done shit at all Im sorry but dude hes trash Please RafaelStone12
0,HoustonRockets TRADE VicOladipo
0,HoustonRockets 7 POINTS IN THE 4th
0,HoustonRockets Prayers for Nwaba
-0.4,HoustonRockets Oladipo needs to stop chucking 3s and play HIS game Rockets need to find consistency in ball movem
0.2,HoustonRockets really 7 points in two minutesShame on you
0,HoustonRockets But who needs James Harden
0,HoustonRockets Was that Nwabas wrist
0.2,HouStanRocketss HoustonRockets Vic really fell off after leaving us huh
0,HoustonRockets Kevin Porter Jr Where IS KP Jr
0.8,HoustonRockets You just got owned by Miles Bridges lol
0.2,HoustonRockets Thanks for that 4th I needed it
-0.1,HoustonRockets For real we just have 7 points for the entire 4th quarter Wtf
0.8,FKNTORO HoustonRockets hornets NBATV SHAQ shaqtin League gotta give him a flopping warning lol
0,HoustonRockets HEY OUR TEAM SCORED 7 POINTS IN THE 4TH LMAOOOOOOOOOOOOOOO
0.5,Kelesxs HoustonRockets More like 3 with the way oladipo played in the 4th
0.2,Absolute straight garbage by the Houston Rockets 7 damn points in the 4th quarterWhat shouldve been a no brai
0,HoustonRockets WE MOVE
0,theprism89 HoustonRockets Extend pj Rehire dantoni
0,HoustonRockets Bruh 7 points in the fourth quarter
-0.4,HoustonRockets Pj tucker 0 point game
0,tweetsofcat HoustonRockets Thats a fire duo name lmaoo
-0.057142857,HoustonRockets Im so confused right now
0,TruuJPh HoustonRockets 7 points
0,HoustonRockets trade tucker and oladipo now
0,HoustonRockets 7 points in 12 minutes
-0.6,7 points in the 4th is a fucking disgrace HoustonRockets
0,georgeIufc HoustonRockets Only pick we got is protected
-0.5,HoustonRockets Wtf did I just watch
0,HoustonRockets Yall got smoke by the hornets smh
0,HoustonRockets 7 points in the 4th quarter
-0.2,HoustonRockets How close was the game when Cousins exited in the 3rd
0.8,HoustonRockets lol you got your ass beat
0,HoustonRockets Give Mason Dipos minutes
0,HoustonRockets Trade the man in the picture
0,theprism89 HoustonRockets John
0,HoustonRockets Defund Oladipo
0,HoustonRockets TRADE FOR DEAARON FOX
0,HoustonRockets Trash team
0,HoustonRockets rockets gt lakers
0,HoustonRockets If we lose tomorrow blow it up and tank Ive lost all hope
0.2,HoustonRockets Thanks for coming out Rockets
0,HoustonRockets Trade Dipo and PJ ASAP
-1,HoustonRockets pathetic
0,HoustonRockets YALL TRASH
0.05,NBATV hornets HoustonRockets entertaining game to watch
0,HoustonRockets you guys are clowns whenyouseeit
-0.5,HoustonRockets Trade pj rn hes absolutely useless
0,HoustonRockets Shame you scored 1 point in eight minutes
0,HoustonRockets Warriors amp Lakers Finished Yall
0,HoustonRockets We suck
0.5,HoustonRockets GGs yall Hope Nwaba is okay
0,HoustonRockets PAINNNNN
0.2875,hornets vs HoustonRocketsLFG The Buzz win both of the back to back and go into an off day tomorrow full of
0,HoustonRockets Were playing with 4 players on offense when PJs on the court
0,HoustonRockets Trade for deaaron fox
0,Solid 4th Quarter HoustonRockets
-0.1,HoustonRockets As an honest Rockets fan I think I speak for our fan base when I say we are washed We are coached
-0.2,HoustonRockets You are so fuking shit team
0,HoustonRockets youre cancelled
-0.2,The HoustonRockets just put up 7 points in the 4th quarter to miss the last part of my parlay by 3 points Fuck yall
0.05,HoustonRockets Nice fixing or useless performances
0.1,FKNTORO HoustonRockets hornets NBATV SHAQ shaqtin Yo that was wild
-0.183333333,HoustonRockets you are the most pathetic excuse for a basketball team in nba history
0,NBA Final Score CHA 1113 defeats HOU 1111 at home 11994 Score diff by qtr 5 4 3 25 hornets
-0.192857143,jordanmitchelI3 HoustonRockets No doubt It was a tight 3 point game entering the 4th just gross
0.266666667,I hope dude is ok sheesh HoustonRockets good game
0.5,7 points in the fourth quarter bruh HoustonRockets thats the best you millionaires can do
0,Rocketsgurllll HoustonRockets Prayers
-0.155555556,WillScott44 HoustonRockets Im down for this no cap
0,kujan23 HoustonRockets Lol man 7 points in the whole ass 4th quarter Definition of a horrible beat
0,Please investigate the HoustonRockets for point shaving NBA
0,HOUvsCHA HoustonRockets sign liangelo ball yall some checks you got nothing to lose
0.2,HoustonRockets Pj Tucker really gettin paid 8 million a year to run laps at this point
0,HoustonRockets 7 points in a quarter disband your franchise and tell your broke ass owner to sell the team this is bullshit
0,HoustonRockets showed no heart tonight Hopefully they bounce back tomorrow
-0.1,HoustonRockets gone ahead and send over Ben Nets will slide you a 2nd round pick
0,Lmfao HoustonRockets
0.2,Really HoustonRockets 7 points in the 4th
0.7,Hope Nwaba is good HoustonRockets
-0.2,HoustonRockets how do u guys only score 7 on the hornets in the fourth thats crazy
0,AND THE OSCAR GOES TO From the HoustonRockets 9MASON JONES hornets NBATV SHAQ shaqtin
0.3,And now I have a huge headache Thanks HoustonRockets
-0.15,HoustonRockets 7 pts in a WHOLE quarter Hahahahha shouldve kept harden Sorry af
0,Me watching the hornets beating the HoustonRockets got me like
0,HoustonRockets trade oladipo and pj tucker pls
-0.225,HoustonRockets I will not watch another game or spend another dime on Houston rockets merchandise as long as this
0.8,NBA hornets HoustonRockets Against the G league Rockets Dont count lol
0,eldavidramos NBA hornets HoustonRockets So jealous you trying to tell another man not to like him geez
0.6,DavoThunder HoustonRockets lmao maybe man
0,VStage13V RocketsPlsWin HoustonRockets No hes coming to brooklyn
0,AkiEkezie HoustonRockets Give him to the wizard for robin lopez n a second
0,HoustonRockets Fire the coach
-0.375,HoustonRockets Trade Oladipo and PJ plz thats fucking dumb
0,HoustonRockets Please trade PJ
0.2,HoustonRockets i dont want tucker on our team anymore straight up its time for a trade
-0.8,HoustonRockets Couch is a fucking moron
0,HoustonRockets go get ZachLaVine plz
0.8,HoustonRockets Just confirms not trying to win and just tanking the season
0.35,HoustonRockets Stone needs to get this team a good big man and true PG
-0.525,That is the worst quarter of basketball Ive seen any team play all season long A night to forget for HoustonRockets
-0.65,HoustonRockets This team stinks bad
0,HoustonRockets Sat Cousins in the 4th yall a joke
-0.115909091,Oclark38 HoustonRockets I know game 23 out of 49 with new team fans so short sided and impatient
0,1DIEGOBLUE NBA hornets HoustonRockets Cant believe those people have the nerves to called themselves experts
-0.183333333,Gsorrentino HoustonRockets 2 all stars and half with eric gordon missing
0.166666667,HoustonRockets are a joke Mainly how they are being coached How does cousins not see the floor in the 4th and
0,HoustonRockets you just got by this guy
-0.4,HoustonRockets Trade Oladipo Or buy him a brain or something Its imposible playing worse than him
0,RocketsPlsWin HoustonRockets Please give us Tucker
-0.1,Rocketsgurllll HoustonRockets Yep theyll be a few until Wood comes back
-0.3,HoustonRockets its not rocket science but start mason jones or at least play him 20 minutes
0.2,HoustonRockets Yeah this is absolutely horrendous
-0.225,HoustonRockets This loss is on Stephan SILAS bad rotations should have brought in mcclemore when he was hot
0,RocketsPlsWin HoustonRockets Well take them off your hands
0.133333333,HoustonRockets Im surprised the Rockets kept it close missing their top 3 scorers Wall Gordon and WoodThe
0.2,LitooooNunya HoustonRockets Thanks god Im not
-0.2,HoustonRockets Holy shit theyre gonna make me do it
0,HoustonRockets Please trade Tucker to the Celtics
0,HoustonRockets Shame you scored 1 point in eight minutes
0,HoustonRockets NotKingJamess James harden looking for his 3rd burger
0,HoustonRockets PLEASE
-0.05,HoustonRockets kroger Seems like so long ago
0,HoustonRockets 1 fg in 9 minutes Different level of trash
0,HoustonRockets Shame you scored 1 point in eight minutes
0,HoustonRockets Lmfaoo
0,HoustonRockets We a G league team without Wood and Wall
0,HoustonRockets What does PJ actually bring to the team
0,HoustonRockets Shame you scored 1 point in eight minutes
0,arxanii HoustonRockets Oladipo reeks
0,HoustonRockets This is what happens when you keep resting players
0.1,HoustonRockets Get pj old ass outta here
0,HoustonRockets ATTSportsNetSW Shame you scored 1 point in eight minutes
0.333333333,arxanii HoustonRockets luckily oladipo isnt playing against the pelicans
1,HoustonRockets The best of todays match
0,RocketsPlsWin HoustonRockets For Beal
0.033333333,HoustonRockets I better not see PJ or Oladipo in a Rockets uniform next game
-0.4,HoustonRockets Trade oladipo and pj tucker immediately we give pj tucker 30 mins a game just to put a donut in the
0,HoustonRockets Trad Oladipo for Beal
0,The HoustonRockets are embarrassing
0,HoustonRockets Big mood Fire Dipo to the sun
-0.8,HoustonRockets how is cousins sitting while they are getting torched inside You are a freaking idiot Cant stan
0.2,HoustonRockets how the coach sit Cousins the whole 4th badcoaching
0,HoustonRockets yo whats up with playing star players only 25 minutes No wonder youre getting blown tf out by the HORNETS
0,Make trades HoustonRockets
0,Idk who the commentator for this hornets vs HoustonRockets is but man is he lit
0,RusselloMFC HoustonRockets Now they have 4 points Which is borderline unheard of
-0.1,shayian93 HoustonRockets maybe stone can get a 2nd round pick or 2
-0.2,jordanmitchelI3 HoustonRockets The shit has to be rigged or the players are betting on the under
0,HoustonRockets Trade Dipo and Tucker PLEASE
0,HoustonRockets TheofficialEG10 JohnWall Chriswood5 VicOladipo Shame you scored 1 point in eight minutes
0,HoustonRockets Kill me
0,HoustonRockets Pj and oladipo for herro
0.6,HoustonRockets trade oladipo You aint that nice to be out here playing hero ball
-0.4,HoustonRockets Trade Victor now Fucking waste of a roster spot If he plays another minute for this fucking team Im calling the police
0.211111111,The HoustonRockets social media guy and I have been on the same wavelength tonight lmao
0,HoustonRockets Dipo tryna find his shot be like
0.45,Judetruth HoustonRockets What I thought this was a joke lol Wow
0,HoustonRockets Guy who runs this account deserves a raise
-0.8,This annoying freight train noise is so annoying Have to change the channel NBATV HoustonRockets
-0.5,HoustonRockets You guys are worthless whats this losers pelicans are gonna blow you out
0,HoustonRockets Trade PJ Oladipo and Gordon now he has some value
1,HoustonRockets Best account
0,Hou5ton4L HoustonRockets Pleaseee
-0.5,VeryGoodBot420 HoustonRockets Youre wrong
0,HoustonRockets Trade bitchass oladipo
0,HoustonRockets Get PJ and Dipo off this team
0,HoustonRockets lkkkkkkkkkkk vai se fuddeeeeeeeeer
0,HoustonRockets Trade Oladipo for Mitchell Robinson
0.2,HoustonRockets got a lot of people not playing so Ball didnt really have to defend and he doesnt have a 7 3pts
0,HoustonRockets Trade Oladipo for future draft picks
1,HoustonRockets kroger 1 point in 4th Quarter Best coach ever
0,HoustonRockets i got rockets in 4 against the lakers
0,HoustonRockets trade pj tucker
0,Can another team sign boogiecousins the rockets are wasting his talent HoustonRockets
-0.55625,HoustonRockets Gets me mad that victor has open shooters and doesnt fucking pass it and when he does there awful
0.5,HoustonRockets God i love this account
0,HoustonRockets Tell Stone to trade PJ and Oladipo
-0.5,HoustonRockets this coach is such a LOSER He is soooo lame its pathetic
0,HoustonRockets embarrassing 1 point
0,bweezybird NBA hornets HoustonRockets he is a beast
-0.4,HoustonRockets kroger what the fuck is pj tucker doing why this team still give him a minute
0.285714286,HoustonRockets Youre right
0.5,Im begging the HoustonRockets to cut Kurucs and sign a backup PG John Wall is scheduled off on b2b so why not plan better for it
0,Ummmm only 1 point HoustonRockets
0.05,HoustonRockets kroger Outscored 19 to 1 so far in the fourth quarter
0,Yall letting LaMelo embarrass us DO SOMETHING HoustonRockets
0.35,Team full of stay hurt ass niggas HoustonRockets
0,I think HoustonRockets have given up Go hornets allfly
0,BOYfromAUS HoustonRockets kroger 8 minutes
0,1 point in a quarter HoustonRockets
0,Sinxesta HoustonRockets You watching this disaster
-0.1875,hornets Whopping HoustonRockets Ass Damn this team can Ball a little
0,Correction HoustonRockets you have 1 point 75 min through the 4th quarter Lmfao Dont even come back out from
0,HoustonRockets ATTSportsNetSW Dont let this dunk distract you from the fact that this garbage ass team has 1 fuc
0.279166667,i love when two of our best players rest every other game really increases our chances of winning games HoustonRockets
0.136363636,HoustonRockets you need new team new leadership
0.6,HoustonRockets kroger 10588 Amazing Rocket offense
0,leave me ALONE HoustonRockets
-0.4,This almost makes me want to buy a basketball game ticket again What is Marks team again HoustonRockets
0,HoustonRockets 18 players touched the court tonight why all of the out rebound and score pj tucker WHY IS HE ON THE TEAM
0,Sinxesta BRO this HoustonRockets 4th quarter
0,Welp its looking like another L tonight HoustonRockets
0,HoustonRockets we suck again
0,picknba StevenW1428 HoustonRockets hornets Idk who this StevenW cat is but there is no place for negativity Keep the winners coming
0,HoustonRockets kroger We cant have 2 players who sit in back to backs
0.25,Anyone else think its funny asl the HoustonRockets have scored 1 point in the 4th quarter 6 min in Do they even
0,How does Stephen Silas have a job HoustonRockets have 1 pt in the 4th quarter with 5 min remaining NBA CMonMan
-0.2,HoustonRockets kroger Spineless losers
0.7,buuuy7 HoustonRockets kroger Also hornets are good
-0.2,buuuy7 HoustonRockets kroger Yall missing wall and Gordon
-0.55,Feel bad for tucker HoustonRockets will never win a championship playin like tis HOUvsCHA
0,HoustonRockets please tank for Paige Bueckers
0,HoustonRockets yall suck
0,StevenW1428 HoustonRockets hornets TodayAnd why are you tweeting at me and not answering my text
0.8,Had the over in this one everything was great until the Rockets decided to score 1 point in the 4th quarter HoustonRockets
0.5,HoustonRockets ATTSportsNetSW More points in this clip than you have in this 4th quarter
0,HoustonRockets kroger no way only 1 point in the 4 quarter we are a trash team i cant believe we are losing againts The Hornets Like cmon
0.2,HoustonRockets kroger Too much turnovers and no defense
0,HoustonRockets kroger Go go go 111111
0,xxxtentacion4L Zaylen15412860 NBA hornets HoustonRockets giannis
-0.1,Rocketsgurllll HoustonRockets He having a rough season
0,HoustonRockets pack it uppp HOUvsCHA
-1,Rocketsgurllll HoustonRockets Worst offensive player on the team
0,CavsNation623 NBA hornets HoustonRockets For now
-0.234027778,HoustonRockets you need to settle down on offense just because they want to run doesnt mean you have toamp why i
0,LaMelo up to a careerhigh 6 threeshornets 77HoustonRockets 69 NBA TV buffstream
0.2,HoustonRockets PJ gotta go he cant do shit but have nice ass kicks
0,HoustonRockets will never be Nba champion contenders HOUvsCHA
0,HoustonRockets kroger GET RID OF PJ TUCKER ASAP HES TRASH thank you
0,KC1294 NBA NBATV hornets HoustonRockets Dont let the hairline fool you Mans a walking bucket
0,HoustonRockets if yall just givin out millions let me try out pj tucker has zero points and zero rebounds and
0.8,JGamingg NBA hornets HoustonRockets lol thats what the so called experts said
0,Pj ass needs to be traded ASAP HoustonRockets
0,PUSSY PUSSY PUSSY HoustonRockets
-0.6,HoustonRockets kroger 1 fucking point 5 minutes into the 4th quarter What a goddamn joke
0,xxxtentacion4L NBA hornets HoustonRockets Umm any player cant do this
0,Please HoustonRockets unload PJ Tucker
0,NBA NBATV hornets HoustonRockets The rockets have John wall Boogie cousins Tucker of Pj Gordan of eric
0,BrianPuspos HoustonRockets kroger big facts he just aint it
0,the ball goes in the hoop HoustonRockets
-0.333333333,HoustonRockets kroger BRO WHY DOESNT HE FUCKING PASS THE BALL TO OPEN SHOOTERS HOLY FUCK
0,Trade PJ Tucker HoustonRockets
0,HoustonRockets please Im trying to relax and yall about to have me stressing
-0.45,Feel bad for Vic on HoustonRockets Hope his career doesntgo to waste HOUvsCHA
-0.295833333,HoustonRockets kroger These diff line ups are confusing and hard to gel with one another
0,HoustonRockets kroger Is pj tucker going to play tonight
0,NBA NBATV hornets HoustonRockets of course hornets bdw rip houston
0,HoustonRockets without Harden Chk the score HOUvsCHA
0.029166667,HoustonRockets kroger Looks like Hornets figured out Benny Macs weak defense Hes an easy target
1,HoustonRockets ATTSportsNetSW Awesome
0,HoustonRockets just cannot find the hoop HOUvsCHA
0.6,lmao HoustonRockets are a bunch of a scrubs
