polarity,tweet
0.8,phillyguy19 DylanHudson5 cjburke95 AllStarJaylen celtics But hes not washed lol its literally been nine games
0,Check out this trade scenario I made on TradeNBAceltics getKyle LowryRaptors getKemba Walker
0,CanSirFighting amazon celtics utahjazz we are
0,frigkyrieirving DylanHudson5 cjburke95 AllStarJaylen celtics The only reason Celtics fans wont admit Kemba is
0.8,Just saw a poll on amazon that asked who will win celtics utahjazz It was 72 to 28 Favoring a Celtics
0,DevinBook dropped 18 PTS amp CP3 15 PTS as the Suns s 139 beat the celtics 1210 10091 nba NBATwitter
0.378571429,celtics Superbowl special Join Robinhood with my link and well both get a free stock
-0.15,celtics Late Saturday evening I received a flurry of texts from multiple executives around the league who said t
-0.05,celtics newbalance So much would change immediately if whatever curriculum was presented went unmarked at least f
0,cowboyvoice celtics RealBillRussell As a coach Phil Jackson 11 rings as a coach and 2 as a player 13 NBA titles is mind blowing
0.166666667,Why doesnt anybody include Bill Russell at the top of all of the GOAT lists Back to back titles at USF then 11 ch
0.5,StevenBeschloss My Dad BillRussell has more rings wears a mask and did a Covid PSA for the CDC Celtics
0,celtics newbalance My thoughts go to IT and all he has gone thru in a short period of time He inspired the peopl
-0.8,199192 NBA Hoops Base 9 Larry Bird listed for 073NBA Boston TheHobby
0,BSolomonsHood CBSSportsHQ jaytatum0 celtics celticslife celticsstats DrewHanlen DukeMBB FCHWPO
-0.033333333,ByJayKing What is the Celtics game day record on super bowl Sundays
0,DonteStallworth Nope Bill Russell has 11 championship rings Celtics
0,celtics PLEASE do something
0,WHY ARE WE NOT DOING ANYTHING celtics
0,Phoenix Suns hang on for victory over celtics capecodtimes celtics
0,celtics We need to get Stevens out of here and get Doc Rivers back from the 76ers Also congrats to Tom Brady on another historic W
0.05,Hokagejayyy islanyute celtics KembaWalker Big up Kemba all you wanthe has history to speak offand so far
-0.4,celtics The fuck he encouraged about
0.2,ppogba66 letrusscook2 celtics I rather have brick Walker than Kyle at least hes a better teammate and doesnt light candles during games
0,TradeNBADetroitPistons getKembaJ RichardsonT Burkedallasmavs getB BealWashWizards getB Griffi
0,I dont understand how Danny Ainge has earned this reputation as being this savvy GM who is building a dynasty The
-0.166666667,Kickin off this week with our eighth Black History Month VignetteDana Barros tells Julius DrJ Ervings Story
0.25,Dont let Brady winning his 7th SuperBowl distract you from the fact that the celtics are 24 in their last 6 games
0.221428571,NBCSCeltics Its not all Mental but hes right things need to happen Imagination wise before they can actually
0.333333333,Hey celtics time to get another trophy now that weve got another Super Bowl ring
0,celtics go get Lou
-0.5,InTheJaysITrust espn celtics Wtf I just saw that too Gotta be a glitch or something
0,ShamsCharania JLin7 Stadium celtics PLEASE
0,TheNBACentral celtics danielrainge lou will
0,BakerofChains ClayTravis RealBillRussell celtics USFDonsMBB point
-0.4,wolfy1 celtics Facts and Im not happy with what Im seeing
0,espn why isnt Jaylen Brown on the roster celtics
0,SCMarcus74 TheNBACentral celtics Lowry To Boston
0.5,celtics And continue to improve your ability to make those around you better
0.5,The GOAT of all GOATS conversation We love mentioning Jordan buuuut Bill Russell has a 11 championships with the
0,NBA Jayson Tatum celtics BleedGreen NBAAllStar
-0.5,FranklynGarcia celtics NCAA National Champion It sad how people are dragging him now that hes injured Hes lo
0.142857143,Right now it is seeming likely it will be the Lakers vs the sixers in the NBA finals The LAClippers and
0,soulfoodscholar celtics Recency bias compounded by everyone trying to outhyperbole everyone else on the interweb
0.2,soulfoodscholar celtics It really speaks to how generational these GOAT arguments are Yes Russell should be m
0,RalphEllisATL soulfoodscholar celtics Russell was before ESPN where his highlights would have been played over
0,ProfessionalPen soulfoodscholar celtics MJ has always been in the conversation In fact until Brady came alon
0.25,Rds124Ross RalphEllisATL soulfoodscholar celtics And basketball was more physical then than now
0.225,celtics kemba is a good player for small teamsnot for the celticstrade now
0.1,soulfoodscholar ReignOfApril celtics Its completely baffling Make all the arguments you want about eras but he
0,RalphEllisATL soulfoodscholar celtics There were 9 teams my guy
0,kissmybhatt soulfoodscholar celtics I can work with that Part of this discussion is generational But cats a
0,ProfessionalPen soulfoodscholar celtics For me its Russel and Abdul Jabbar then everyone else
0.55,NBA celtics Suns The owner of Google and his son Facebook Zuckerberg Who together own more than 70 of the worl
0.55,NBA celtics Suns The owner of Google and his son Facebook Zuckerberg Who together own more than 70 of the worl
0.1,soulfoodscholar ReignOfApril celtics Yes Thanks for laying that out I was just thinking the same thing Heres
0.55,NBA celtics Suns The owner of Google and his son Facebook Zuckerberg Who together own more than 70 of the worl
0,soulfoodscholar ReignOfApril celtics And dealt with heinous racism
0.483333333,KnoxvilleKC ClayTravis RealBillRussell celtics USFDonsMBB I know Im sure each team was pretty damn good sinc
-0.05,soulfoodscholar celtics And lifelong friend and former team mate of Johnny Mathis
0,soulfoodscholar celtics Im with you Adrian Russell is one of my alltime sports heroes And yes its a genera
0.25,LottaLuvvv celtics I think we should trade him for Kyle Lowry hearing the raptors are willing to trade him
0,aschepis celtics I always like seeing all the Celtics banners hanging in Terminal C Logan from his era
0,celtics NHLBruins and RedSox to focus on until the fall for football return
0,celtics TRADE KEMBRICK
0.5,soulfoodscholar celtics Its generational For many Americans sports started in 1990
0.333333333,Tom Brady has won 13 of all Super Bowls but Bill Russell has won almost 15 of all NBA Championships celtics
0.375,soulfoodscholar celtics Agreed and also one of the first to say no to autograph seekers which I sincerely did n
0,celtics Yo celtics lez go play da jazz tomorrow and lets get some 3s
0,JRat316 celtics danielrainge Toronto would nevvvvvvver
0.33,soulfoodscholar celtics I believe he was probably winning championships in high school too The man didnt know how to lose
0,soulfoodscholar celtics Im writing about this in my newsletter Im about to send out this morningNo Serena n
0,TimMurrayMA RealBillRussell NBA celtics I have been saying that for years 13 Championships in 15 years plus
0.55,Its mystifying to me that with all of the GOAT Athlete talk celtics great Bill Russell is rarely mentioned
0,9th Vote NBAAllStar NBALakers PelicansNBA trailblazers utahjazz WashWizards hornets sixers Bucks
0,Day 27 of asking the celtics to follow back
0.5,NBAs Top 5 Plays from Sunday highlighted by celtics jaytatum0 amp dtheis10 teaming up for a lob alleypop
0,BillMurraySZN CBSSportsHQ jaytatum0 celtics celticslife celticsstats DrewHanlen DukeMBB FCHWPO
0,celtics ITS TIME TO TRADE KEMBA FIRE BRAD LOVES A LOSER STEVENS AND DANNY AINGE
0.244444444,TimMurrayMA RealBillRussell NBA celtics Im a huge Celtics and Bill Russell fan Hes a tremendous individual
0,Liam20004833 celtics No we dont need a shooting guard
0.7,BakerofChains ClayTravis RealBillRussell celtics USFDonsMBB A fair argument but they won something like 9 ou
-0.5,FancyDiMaria SilverfmGH SilverSportsGh SilverSportsGh SportsCenterwe celtics are in difficult times becau
0.1,Suns celtics FOXSPORTSAZ AZSports lamejorphoenix VALLEY ACTION
0,TradeNBAceltics getKarlAnthony TownsChuma OkekeTimberwolves getNikola VucevicTerrence Ross2021
-0.7,KingT843 celtics Fans a bad name
0.166666667,KingT843 celtics Like people just assume that he is If youre giving up on one of our main guys already then you
-0.1,KingT843 celtics I dont defend Teague because he is absolute garbage no matter how well he might play in 1 game
0.033333333,KingT843 celtics You couldnt sound more stupid if you tried I call it like I see it as well And that is he is
0,KnoxvilleKC ClayTravis RealBillRussell celtics USFDonsMBB I wanted to say Russell but there werent enough tea
0,Suns hang on for 10091 victory over the Celtics Jayson Tatum 23 points Devin Booker 18 points NBAAllStar
-0.4,cjburke95 Juhmoke AllStarJaylen DylanHudson5 celtics They beat us with the stupid play always the same yeste
0.8,ClayTravis The great RealBillRussell His celtics ruled the 1960s and by the end of the decade he was playing A
0,MikeMillerTime celtics NBA NBAHistory NBAUK NBAalumni NBACoaches AlwaysBallinUK NothingButNetBB Shaw
0,MikeMillerTime celtics NBA NBAHistory NBAUK NBAalumni NBACoaches AlwaysBallinUK NothingButNetBB Brian Shaq
0,Brady can chase Bill Russell now Russell won 11 NBA Championships with the celtics
-0.366666667,KAMMY99 celtics I call it like I see it Im not one of the green teamers who defend mediocrity or bad play Ma
-0.35,NBA celtics Suns Blech Whatever Im sticking with the classics These young guys are breaking my heart with th
0,Liam20004833 celtics Correct Walker needs to go
0,AustralianOpen NickKyrgios JohnCainArena Yeaaa hes also a celtics fan
0.333333333,NBA celtics Suns Loved it Nice Booking by D Book YES But Walker needed help there At least encourage him to give up the rock
-0.3,celtics This team sucks
0,fastppmvp celtics Steven adams doesnt do nothing
0.5,celtics You have to many rotation players
-0.3,celtics You are playing to slow
0,KingT843 celtics Difference between criticism and what youre doing but nvm You do you and if thats hop on the
0,celtics What players playing defense Coach Brad
-0.155555556,celtics Up and down
0,AllenFCB12 celtics Bigger than spurs
1,RealBillRussell NBA BostonGlobe celtics espn BleacherReport It wont be for me best avoided
0,MikeMillerTime celtics NBA NBAHistory NBAUK NBAalumni NBACoaches AlwaysBallinUK NothingButNetBB Brian Shaw
0,Rogerr celtics Cry g you lost to Suns
-0.4,Rogerr celtics Sry I confused with Clippers
0,MikeMillerTime celtics NBA NBAHistory NBAUK NBAalumni NBACoaches AlwaysBallinUK NothingButNetBB Im Shaw its Brian
0,AllenFCB12 celtics We didnt play vs kings
0,NBA Booker extends the PHX lead lateceltics 91Suns 98367 left on NBA TV
0,NBA Tatum to Theis ALLEYOOP celtics 77Suns 86Mid 4th on NBA TV
0,NBA 16 PTS 11 AST for DBook as we go the 4th on NBA TVceltics 68Suns 76Who ya got
0,NBA HALFTIME on NBA TVceltics 49Suns 52Devin Booker 13 PTS 7 ASTMikal Bridges 12 PTSJayson Tatum 12
0.7,AReilly05 JuuLeeUnn celtics You good bro we gotta make some moves
0,Rogerr celtics Imagine Loosing to Kings
0,celtics Come on
0,Booker extends the PHX lead lateceltics 91Suns 98367 left on NBA TV NBA
0,Tatum to Theis ALLEYOOP celtics 77Suns 86Mid 4th on NBA TV NBA
0,16 PTS 11 AST for DBook as we go the 4th on NBA TVceltics 68Suns 76Who ya got NBA
0,HALFTIME on NBA TVceltics 49Suns 52Devin Booker 13 PTS 7 ASTMikal Bridges 12 PTSJayson Tatum 12 PTS
0,Booker extends the PHX lead lateceltics 91Suns 98367 left on NBA TV
0,Tatum to Theis ALLEYOOP celtics 77Suns 86Mid 4th on NBA TV
0,16 PTS 11 AST for DBook as we go the 4th on NBA TVceltics 68Suns 76Who ya got
0,HALFTIME on NBA TVceltics 49Suns 52Devin Booker 13 PTS 7 ASTMikal Bridges 12 PTSJayson Tatum 12 PTS
0,NBA Booker extends the PHX lead lateceltics 91Suns 98367 left on NBA TV
0,NBA Tatum to Theis ALLEYOOP celtics 77Suns 86Mid 4th on NBA TV
0,NBA 16 PTS 11 AST for DBook as we go the 4th on NBA TVceltics 68Suns 76Who ya got
