ID,DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
109,2021-01-06,ATL,CHO,94.0,102.0,-8,0,0.375,0.833,0.175,25,57,0.376,0.818,0.306,22,49
110,2021-01-06,MIA,BOS,105.0,107.0,-2,0,0.43200000000000005,0.846,0.361,26,42,0.424,0.917,0.34299999999999997,22,53
111,2021-01-06,NYK,UTA,112.0,100.0,12,1,0.517,0.737,0.364,22,48,0.44,0.545,0.318,20,42
112,2021-01-06,MIL,DET,130.0,115.0,15,1,0.544,0.619,0.442,35,47,0.392,0.867,0.317,20,47
113,2021-01-06,NOP,OKC,110.0,111.0,-1,0,0.494,0.7829999999999999,0.182,25,52,0.46,0.75,0.413,28,38
114,2021-01-06,PHO,TOR,123.0,115.0,8,1,0.48200000000000004,0.917,0.525,30,41,0.494,0.7190000000000001,0.4,18,42
115,2021-01-06,GSW,LAC,101.0,108.0,-7,0,0.45299999999999996,0.789,0.267,25,35,0.444,1.0,0.324,19,48
116,2021-01-06,SAC,CHI,128.0,124.0,4,1,0.516,0.741,0.37799999999999995,30,39,0.527,0.8,0.35,27,43
117,2021-01-07,BRK,PHI,122.0,109.0,13,1,0.45399999999999996,0.655,0.405,30,48,0.47100000000000003,0.9,0.34600000000000003,23,47
118,2021-01-07,MEM,CLE,90.0,94.0,-4,0,0.434,0.875,0.355,27,48,0.456,0.563,0.433,24,37
119,2021-01-07,DEN,DAL,117.0,124.0,-7,0,0.44299999999999995,0.762,0.341,25,47,0.483,0.774,0.4,27,44
120,2021-01-07,LAL,SAS,109.0,118.0,-9,0,0.5,0.619,0.33299999999999996,21,48,0.467,0.941,0.457,28,40
121,2021-01-07,POR,MIN,135.0,117.0,18,1,0.544,0.826,0.439,25,44,0.419,0.758,0.341,24,48
122,2021-01-08,DET,PHO,110.0,105.0,5,1,0.41100000000000003,0.862,0.324,23,46,0.451,0.462,0.327,24,50
123,2021-01-08,BOS,WAS,116.0,107.0,9,1,0.47700000000000004,0.733,0.375,21,49,0.466,0.875,0.379,22,38
124,2021-01-08,NOP,CHO,110.0,118.0,-8,0,0.494,0.731,0.395,29,36,0.47100000000000003,0.8,0.381,33,45
125,2021-01-08,NYK,OKC,89.0,101.0,-12,0,0.354,0.6,0.33299999999999996,19,49,0.43700000000000006,0.667,0.324,16,62
126,2021-01-08,HOU,ORL,132.0,90.0,42,1,0.56,0.727,0.46799999999999997,34,49,0.382,0.875,0.276,17,42
127,2021-01-08,MEM,BRK,115.0,110.0,5,1,0.45899999999999996,0.857,0.406,29,46,0.469,0.9520000000000001,0.452,26,42
128,2021-01-08,MIL,UTA,118.0,131.0,-13,0,0.449,0.81,0.31,18,45,0.505,0.615,0.47200000000000003,31,50
129,2021-01-08,GSW,LAC,115.0,105.0,10,1,0.488,0.833,0.488,25,38,0.48200000000000004,0.846,0.452,23,37
130,2021-01-08,LAL,CHI,117.0,115.0,2,1,0.506,0.852,0.414,21,42,0.505,0.929,0.385,26,41
131,2021-01-08,SAC,TOR,123.0,144.0,-21,0,0.568,0.5710000000000001,0.441,36,26,0.5820000000000001,0.818,0.513,30,44
132,2021-01-09,PHI,DEN,103.0,115.0,-12,0,0.41700000000000004,0.6,0.314,23,48,0.5,0.867,0.364,28,45
133,2021-01-09,CHO,ATL,113.0,105.0,8,1,0.519,0.75,0.455,27,41,0.382,0.821,0.311,25,47
134,2021-01-09,IND,PHO,117.0,125.0,-8,0,0.478,0.708,0.414,23,52,0.489,1.0,0.39,33,40
135,2021-01-09,WAS,MIA,124.0,128.0,-4,0,0.444,0.75,0.375,25,39,0.495,0.769,0.37200000000000005,32,61
136,2021-01-09,MIL,CLE,100.0,90.0,10,1,0.44,0.778,0.33299999999999996,25,45,0.414,0.688,0.26899999999999996,16,47
137,2021-01-09,MIN,SAS,122.0,125.0,-3,0,0.5,0.647,0.5,29,53,0.436,0.828,0.406,22,48
138,2021-01-09,DAL,ORL,112.0,98.0,14,1,0.494,0.778,0.5,25,44,0.42700000000000005,0.727,0.19399999999999998,17,43
139,2021-01-09,SAC,POR,99.0,125.0,-26,0,0.40700000000000003,0.7140000000000001,0.267,21,47,0.44,0.87,0.415,26,50
